"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sauce Demo 1","0","Login","1","0","Login with positive credential","0"
"0","Sauce Demo 1","0","Login","3","0","Login with negative credential","0"
"0","Sauce Demo 1","0","Checkout","3","0","Checkout with negative credential","0"
"0","Sauce Demo 1","0","Checkout","1","0","Return to shop cart by button Cancel","0"
"0","Sauce Demo 1","0","Checkout","1","0","Check overview","0"
"0","Sauce Demo 1","0","Cart","1","0","Add to cart","0"
"0","Sauce Demo 1","0","Checkout","1","0","Check complete","0"
"0","Sauce Demo 1","0","Checkout","1","0","Checkout user information","0"
"0","Sauce Demo 1","0","Checkout","1","0","Checkout with positive credential","0"
"0","Sauce Demo 1","0","Cart","1","0","Remove to cart","0"
